node1	node1;label	relationship	relationship;label	node2	node2;label
7	PIA_1994	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA INDUSTRIAL ANUAL	
7	PIA_1994	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1994	
7	PIA_1994	DAT_FONTE_ATU	Data da Fonte de Atualização	^1996-12-01	
7	PIA_1994	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199475	
7	PIA_1994	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
8	PAIC_1994	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAIC	
8	PAIC_1994	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DA INDÚSTRIA DA CONSTRUÇÃO	
8	PAIC_1994	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1994	
8	PAIC_1994	DAT_FONTE_ATU	Data da Fonte de Atualização	^1996-12-01	
8	PAIC_1994	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199475	
8	PAIC_1994	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
9	FGV_1995	SGL_FONTE_ATU	Sigla da Fonte de Atualização	FGV	
9	FGV_1995	DSC_FONTE_ATU	Descrição da Fonte de Atualização	FUNDAÇÃO GETULIO VARGAS	
9	FGV_1995	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1995	
9	FGV_1995	DAT_FONTE_ATU	Data da Fonte de Atualização	^1995-12-01	
9	FGV_1995	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199550	
9	FGV_1995	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
10	GAZETA_1995	SGL_FONTE_ATU	Sigla da Fonte de Atualização	GAZETA	
10	GAZETA_1995	DSC_FONTE_ATU	Descrição da Fonte de Atualização	nan	
10	GAZETA_1995	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1995	
10	GAZETA_1995	DAT_FONTE_ATU	Data da Fonte de Atualização	^1995-12-01	
10	GAZETA_1995	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199550	
10	GAZETA_1995	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
11	REV/EXAME_1995	SGL_FONTE_ATU	Sigla da Fonte de Atualização	REV/EXAME	
11	REV/EXAME_1995	DSC_FONTE_ATU	Descrição da Fonte de Atualização	nan	
11	REV/EXAME_1995	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1995	
11	REV/EXAME_1995	DAT_FONTE_ATU	Data da Fonte de Atualização	^1995-12-01	
11	REV/EXAME_1995	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199550	
11	REV/EXAME_1995	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
12	PATR_1995	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PATR	
12	PATR_1995	DSC_FONTE_ATU	Descrição da Fonte de Atualização	nan	
12	PATR_1995	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1995	
12	PATR_1995	DAT_FONTE_ATU	Data da Fonte de Atualização	^1997-05-01	
12	PATR_1995	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199575	
12	PATR_1995	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
13	PAC_1995	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAC	
13	PAC_1995	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE COMÉRCIO	
13	PAC_1995	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1995	
13	PAC_1995	DAT_FONTE_ATU	Data da Fonte de Atualização	^1997-12-01	
13	PAC_1995	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199575	
13	PAC_1995	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
14	PIA_1995	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PIA	
14	PIA_1995	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA INDUSTRIAL ANUAL	
14	PIA_1995	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1995	
14	PIA_1995	DAT_FONTE_ATU	Data da Fonte de Atualização	^1997-12-01	
14	PIA_1995	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199575	
14	PIA_1995	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
15	PAIC_1995	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAIC	
15	PAIC_1995	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DA INDÚSTRIA DA CONSTRUÇÃO	
15	PAIC_1995	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1995	
15	PAIC_1995	DAT_FONTE_ATU	Data da Fonte de Atualização	^1997-12-01	
15	PAIC_1995	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199575	
15	PAIC_1995	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
16	RAIS_1995	SGL_FONTE_ATU	Sigla da Fonte de Atualização	RAIS	
16	RAIS_1995	DSC_FONTE_ATU	Descrição da Fonte de Atualização	RELACAO ANUAL DE INFORMAÇÕES SOCIAIS	
16	RAIS_1995	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1995	
16	RAIS_1995	DAT_FONTE_ATU	Data da Fonte de Atualização	^1998-01-30	
16	RAIS_1995	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199550	
16	RAIS_1995	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
17	CC/95_1995	SGL_FONTE_ATU	Sigla da Fonte de Atualização	CC/95	
17	CC/95_1995	DSC_FONTE_ATU	Descrição da Fonte de Atualização	CENSO CADASTRO 1995	
17	CC/95_1995	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1995	
17	CC/95_1995	DAT_FONTE_ATU	Data da Fonte de Atualização	^1998-01-29	
17	CC/95_1995	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199575	
17	CC/95_1995	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
18	SCC_1995	SGL_FONTE_ATU	Sigla da Fonte de Atualização	SCC	
18	SCC_1995	DSC_FONTE_ATU	Descrição da Fonte de Atualização	nan	
18	SCC_1995	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1995	
18	SCC_1995	DAT_FONTE_ATU	Data da Fonte de Atualização	^1998-02-28	
18	SCC_1995	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199575	
18	SCC_1995	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
19	FGV_1996	SGL_FONTE_ATU	Sigla da Fonte de Atualização	FGV	
19	FGV_1996	DSC_FONTE_ATU	Descrição da Fonte de Atualização	FUNDAÇÃO GETULIO VARGAS	
19	FGV_1996	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1996	
19	FGV_1996	DAT_FONTE_ATU	Data da Fonte de Atualização	^1996-12-01	
19	FGV_1996	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199650	
19	FGV_1996	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
20	GAZETA_1996	SGL_FONTE_ATU	Sigla da Fonte de Atualização	GAZETA	
20	GAZETA_1996	DSC_FONTE_ATU	Descrição da Fonte de Atualização	nan	
20	GAZETA_1996	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1996	
20	GAZETA_1996	DAT_FONTE_ATU	Data da Fonte de Atualização	^1996-12-01	
20	GAZETA_1996	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199650	
20	GAZETA_1996	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
21	RAIS_1996	SGL_FONTE_ATU	Sigla da Fonte de Atualização	RAIS	
21	RAIS_1996	DSC_FONTE_ATU	Descrição da Fonte de Atualização	RELACAO ANUAL DE INFORMAÇÕES SOCIAIS	
21	RAIS_1996	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1996	
21	RAIS_1996	DAT_FONTE_ATU	Data da Fonte de Atualização	^1998-01-31	
21	RAIS_1996	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199650	
21	RAIS_1996	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
22	PATR_1996	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PATR	
22	PATR_1996	DSC_FONTE_ATU	Descrição da Fonte de Atualização	nan	
22	PATR_1996	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1996	
22	PATR_1996	DAT_FONTE_ATU	Data da Fonte de Atualização	^1998-05-12	
22	PATR_1996	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199675	
22	PATR_1996	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
23	PAC_1996	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAC	
23	PAC_1996	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE COMÉRCIO	
23	PAC_1996	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1996	
23	PAC_1996	DAT_FONTE_ATU	Data da Fonte de Atualização	^1998-12-01	
23	PAC_1996	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199675	
23	PAC_1996	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
24	PAIC_1996	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAIC	
24	PAIC_1996	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DA INDÚSTRIA DA CONSTRUÇÃO	
24	PAIC_1996	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1996	
24	PAIC_1996	DAT_FONTE_ATU	Data da Fonte de Atualização	^1998-12-01	
24	PAIC_1996	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199675	
24	PAIC_1996	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
25	PIA_1996	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PIA	
25	PIA_1996	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA INDUSTRIAL ANUAL	
25	PIA_1996	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1996	
25	PIA_1996	DAT_FONTE_ATU	Data da Fonte de Atualização	^1999-01-19	
25	PIA_1996	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199675	
25	PIA_1996	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
26	FGV_1997	SGL_FONTE_ATU	Sigla da Fonte de Atualização	FGV	
26	FGV_1997	DSC_FONTE_ATU	Descrição da Fonte de Atualização	nan	
26	FGV_1997	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1997	
26	FGV_1997	DAT_FONTE_ATU	Data da Fonte de Atualização	^1997-12-01	
26	FGV_1997	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199750	
26	FGV_1997	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
27	RAIS_1997	SGL_FONTE_ATU	Sigla da Fonte de Atualização	RAIS	
27	RAIS_1997	DSC_FONTE_ATU	Descrição da Fonte de Atualização	RELACAO ANUAL DE INFORMAÇÕES SOCIAIS	
27	RAIS_1997	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1997	
27	RAIS_1997	DAT_FONTE_ATU	Data da Fonte de Atualização	^1999-07-01	
27	RAIS_1997	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199750	
27	RAIS_1997	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
28	PAC_1997	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAC	
28	PAC_1997	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE COMÉRCIO	
28	PAC_1997	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1997	
28	PAC_1997	DAT_FONTE_ATU	Data da Fonte de Atualização	^1999-12-03	
28	PAC_1997	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199775	
28	PAC_1997	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
29	PAIC_1997	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAIC	
29	PAIC_1997	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DA INDÚSTRIA DA CONSTRUÇÃO	
29	PAIC_1997	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1997	
29	PAIC_1997	DAT_FONTE_ATU	Data da Fonte de Atualização	^1999-12-03	
29	PAIC_1997	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199775	
29	PAIC_1997	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
30	PIA_1997	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PIA	
30	PIA_1997	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA INDUSTRIAL ANUAL	
30	PIA_1997	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1997	
30	PIA_1997	DAT_FONTE_ATU	Data da Fonte de Atualização	^1999-12-06	
30	PIA_1997	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199775	
30	PIA_1997	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
31	BACEN_1998	SGL_FONTE_ATU	Sigla da Fonte de Atualização	BACEN	
31	BACEN_1998	DSC_FONTE_ATU	Descrição da Fonte de Atualização	nan	
31	BACEN_1998	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1998	
31	BACEN_1998	DAT_FONTE_ATU	Data da Fonte de Atualização	^1998-08-12	
31	BACEN_1998	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199850	
31	BACEN_1998	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
32	FGV_1998	SGL_FONTE_ATU	Sigla da Fonte de Atualização	FGV	
32	FGV_1998	DSC_FONTE_ATU	Descrição da Fonte de Atualização	nan	
32	FGV_1998	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1998	
32	FGV_1998	DAT_FONTE_ATU	Data da Fonte de Atualização	^1998-12-01	
32	FGV_1998	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199850	
32	FGV_1998	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
33	RAIS_1998	SGL_FONTE_ATU	Sigla da Fonte de Atualização	RAIS	
33	RAIS_1998	DSC_FONTE_ATU	Descrição da Fonte de Atualização	RELACAO ANUAL DE INFORMAÇÕES SOCIAIS	
33	RAIS_1998	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1998	
33	RAIS_1998	DAT_FONTE_ATU	Data da Fonte de Atualização	^1999-12-20	
33	RAIS_1998	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199850	
33	RAIS_1998	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
34	PAIC_1998	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAIC	
34	PAIC_1998	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DA INDÚSTRIA DA CONSTRUÇÃO	
34	PAIC_1998	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1998	
34	PAIC_1998	DAT_FONTE_ATU	Data da Fonte de Atualização	^2000-09-04	
34	PAIC_1998	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199875	
34	PAIC_1998	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
35	PIA_1998	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PIA	
35	PIA_1998	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA INDUSTRIAL ANUAL	
35	PIA_1998	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1998	
35	PIA_1998	DAT_FONTE_ATU	Data da Fonte de Atualização	^2000-11-29	
35	PIA_1998	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199875	
35	PIA_1998	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
36	PAC_1998	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAC	
36	PAC_1998	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE COMÉRCIO	
36	PAC_1998	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1998	
36	PAC_1998	DAT_FONTE_ATU	Data da Fonte de Atualização	^2000-12-05	
36	PAC_1998	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199875	
36	PAC_1998	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
37	PAS_1998	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAS	
37	PAS_1998	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE SERVIÇOS	
37	PAS_1998	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1998	
37	PAS_1998	DAT_FONTE_ATU	Data da Fonte de Atualização	^2000-12-06	
37	PAS_1998	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199875	
37	PAS_1998	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
38	CAGED_1999_08	SGL_FONTE_ATU	Sigla da Fonte de Atualização	CAGED	
38	CAGED_1999_08	DSC_FONTE_ATU	Descrição da Fonte de Atualização	CADASTRO GERAL DE EMPREGADOS E DESEMPREGADOS	
38	CAGED_1999_08	ANO_MES_BASE_FONTE_ATU	Ano/Mês Base da Fonte de Atualização	^1999-08	
38	CAGED_1999_08	DAT_FONTE_ATU	Data da Fonte de Atualização	^1999-12-23	
38	CAGED_1999_08	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199825	
38	CAGED_1999_08	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
39	CVM_1999	SGL_FONTE_ATU	Sigla da Fonte de Atualização	CVM	
39	CVM_1999	DSC_FONTE_ATU	Descrição da Fonte de Atualização	nan	
39	CVM_1999	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1999	
39	CVM_1999	DAT_FONTE_ATU	Data da Fonte de Atualização	^1999-12-01	
39	CVM_1999	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199950	
39	CVM_1999	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
40	FGV_1999	SGL_FONTE_ATU	Sigla da Fonte de Atualização	FGV	
40	FGV_1999	DSC_FONTE_ATU	Descrição da Fonte de Atualização	FUNDAÇÃO GETULIO VARGAS	
40	FGV_1999	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1999	
40	FGV_1999	DAT_FONTE_ATU	Data da Fonte de Atualização	^1999-12-01	
40	FGV_1999	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199950	
40	FGV_1999	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
41	REV/EXAME_1999	SGL_FONTE_ATU	Sigla da Fonte de Atualização	REV/EXAME	
41	REV/EXAME_1999	DSC_FONTE_ATU	Descrição da Fonte de Atualização	nan	
41	REV/EXAME_1999	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1999	
41	REV/EXAME_1999	DAT_FONTE_ATU	Data da Fonte de Atualização	^1999-12-01	
41	REV/EXAME_1999	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199950	
41	REV/EXAME_1999	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
42	RAIS_1999	SGL_FONTE_ATU	Sigla da Fonte de Atualização	RAIS	
42	RAIS_1999	DSC_FONTE_ATU	Descrição da Fonte de Atualização	RELACAO ANUAL DE INFORMAÇÕES SOCIAIS	
42	RAIS_1999	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1999	
42	RAIS_1999	DAT_FONTE_ATU	Data da Fonte de Atualização	^2001-01-10	
42	RAIS_1999	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199950	
42	RAIS_1999	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
43	PAIC_1999	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAIC	
43	PAIC_1999	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DA INDÚSTRIA DA CONSTRUÇÃO	
43	PAIC_1999	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1999	
43	PAIC_1999	DAT_FONTE_ATU	Data da Fonte de Atualização	^2001-07-18	
43	PAIC_1999	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199975	
43	PAIC_1999	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
44	PAS_1999	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAS	
44	PAS_1999	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE SERVIÇOS	
44	PAS_1999	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1999	
44	PAS_1999	DAT_FONTE_ATU	Data da Fonte de Atualização	^2001-07-23	
44	PAS_1999	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199975	
44	PAS_1999	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
45	PAC_1999	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAC	
45	PAC_1999	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE COMÉRCIO	
45	PAC_1999	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1999	
45	PAC_1999	DAT_FONTE_ATU	Data da Fonte de Atualização	^2001-07-23	
45	PAC_1999	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199975	
45	PAC_1999	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
46	PIA_1999	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PIA	
46	PIA_1999	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA INDUSTRIAL ANUAL	
